accession	strain
AB269695.2	AB269695.2
AB297923.1	AB297923.1
AB297924.1	AB297924.1
AB297925.1	AB297925.1
AB297926.1	AB297926.1
AF310986.1	AF310986.1
DQ107407.1	DQ107407.1
DQ376618.1	DQ376618.1
DQ376627.1	DQ376627.1
DQ376629.1	DQ376629.1
DQ376643.1	DQ376643.1
DQ376646.1	DQ376646.1
DQ376650.1	DQ376650.1
DQ376651.1	DQ376651.1
DQ376654.1	DQ376654.1
DQ376663.1	DQ376663.1
DQ376665.1	DQ376665.1
DQ376681.1	DQ376681.1
DQ376682.1	DQ376682.1
DQ376685.1	DQ376685.1
DQ376687.1	DQ376687.1
DQ376690.1	DQ376690.1
DQ376699.1	DQ376699.1
DQ376700.1	DQ376700.1
DQ376715.1	DQ376715.1
DQ376718.1	DQ376718.1
DQ376721.1	DQ376721.1
DQ376723.1	DQ376723.1
DQ376726.1	DQ376726.1
DQ376735.1	DQ376735.1
DQ376737.1	DQ376737.1
DQ376751.1	DQ376751.1
DQ376754.1	DQ376754.1
DQ376758.1	DQ376758.1
DQ376759.1	DQ376759.1
DQ376762.1	DQ376762.1
DQ376771.1	DQ376771.1
DQ376773.1	DQ376773.1
DQ376787.1	DQ376787.1
DQ376790.1	DQ376790.1
DQ376794.1	DQ376794.1
DQ376795.1	DQ376795.1
DQ376798.1	DQ376798.1
DQ376807.1	DQ376807.1
DQ376809.1	DQ376809.1
DQ376823.1	DQ376823.1
DQ376826.1	DQ376826.1
DQ376830.1	DQ376830.1
DQ376831.1	DQ376831.1
DQ376834.1	DQ376834.1
DQ376843.1	DQ376843.1
DQ376845.1	DQ376845.1
DQ376859.1	DQ376859.1
DQ376862.1	DQ376862.1
DQ376866.1	DQ376866.1
DQ376867.1	DQ376867.1
DQ376870.1	DQ376870.1
DQ376879.1	DQ376879.1
DQ376881.1	DQ376881.1
DQ376895.1	DQ376895.1
DQ376898.1	DQ376898.1
DQ376901.1	DQ376901.1
DQ376903.1	DQ376903.1
GQ221699.1	GQ221699.1
GU066541.1	GU066541.1
GU066542.1	GU066542.1
GU066543.1	GU066543.1
GU066544.1	GU066544.1
GU066545.1	GU066545.1
GU066546.1	GU066546.1
GU066547.1	GU066547.1
GU066548.1	GU066548.1
GU066549.1	GU066549.1
GU066550.1	GU066550.1
GU066551.1	GU066551.1
GU066552.1	GU066552.1
GU066553.1	GU066553.1
GU066554.1	GU066554.1
GU066555.1	GU066555.1
GU066556.1	GU066556.1
GU066557.1	GU066557.1
GU066558.1	GU066558.1
GU066559.1	GU066559.1
GU066560.1	GU066560.1
GU066561.1	GU066561.1
GU066562.1	GU066562.1
GU066563.1	GU066563.1
GU066564.1	GU066564.1
GU066565.1	GU066565.1
GU066566.1	GU066566.1
GU066567.1	GU066567.1
GU066568.1	GU066568.1
KJ162713.1	KJ162713.1
KJ162714.1	KJ162714.1
KJ162715.1	KJ162715.1
KJ162716.1	KJ162716.1
KJ162717.1	KJ162717.1
KJ162718.1	KJ162718.1
KJ162719.1	KJ162719.1
KJ162720.1	KJ162720.1
KJ162721.1	KJ162721.1
KJ162722.1	KJ162722.1
KJ162723.1	KJ162723.1
KJ162724.1	KJ162724.1
KJ162725.1	KJ162725.1
KJ162726.1	KJ162726.1
KJ162727.1	KJ162727.1
KJ162728.1	KJ162728.1
KJ162729.1	KJ162729.1
KJ162730.1	KJ162730.1
KJ162731.1	KJ162731.1
KJ162732.1	KJ162732.1
KJ162733.1	KJ162733.1
KJ162734.1	KJ162734.1
KJ162735.1	KJ162735.1
KJ162736.1	KJ162736.1
KJ162737.1	KJ162737.1
KJ162738.1	KJ162738.1
KJ162739.1	KJ162739.1
KJ162740.1	KJ162740.1
KJ162741.1	KJ162741.1
KJ162742.1	KJ162742.1
KJ162743.1	KJ162743.1
KJ162744.1	KJ162744.1
KJ162745.1	KJ162745.1
KJ162746.1	KJ162746.1
KJ162747.1	KJ162747.1
KJ162748.1	KJ162748.1
KJ162749.1	KJ162749.1
KJ162750.1	KJ162750.1
KJ162751.1	KJ162751.1
KJ162752.1	KJ162752.1
KJ162753.1	KJ162753.1
KJ162754.1	KJ162754.1
KJ162755.1	KJ162755.1
KJ162756.1	KJ162756.1
KJ162757.1	KJ162757.1
KJ162758.1	KJ162758.1
KJ162759.1	KJ162759.1
KJ162760.1	KJ162760.1
KJ162761.1	KJ162761.1
KJ162762.1	KJ162762.1
KJ162763.1	KJ162763.1
KJ162764.1	KJ162764.1
KJ162765.1	KJ162765.1
KJ162766.1	KJ162766.1
KJ162767.1	KJ162767.1
KJ162768.1	KJ162768.1
KJ162769.1	KJ162769.1
KJ162770.1	KJ162770.1
KJ162771.1	KJ162771.1
KJ162772.1	KJ162772.1
KJ162773.1	KJ162773.1
KJ162774.1	KJ162774.1
KJ162775.1	KJ162775.1
KJ162776.1	KJ162776.1
KJ162777.1	KJ162777.1
KJ162778.1	KJ162778.1
KJ162779.1	KJ162779.1
KJ162780.1	KJ162780.1
KJ162781.1	KJ162781.1
KJ162782.1	KJ162782.1
KJ162783.1	KJ162783.1
KJ162784.1	KJ162784.1
KJ162785.1	KJ162785.1
KJ162786.1	KJ162786.1
KJ162787.1	KJ162787.1
KJ162788.1	KJ162788.1
KJ162789.1	KJ162789.1
KJ162790.1	KJ162790.1
KJ162791.1	KJ162791.1
KJ162792.1	KJ162792.1
KJ162793.1	KJ162793.1
KJ162794.1	KJ162794.1
KJ162795.1	KJ162795.1
KJ162796.1	KJ162796.1
KJ162797.1	KJ162797.1
KJ162798.1	KJ162798.1
KJ162799.1	KJ162799.1
KJ162800.1	KJ162800.1
KJ162801.1	KJ162801.1
KJ162802.1	KJ162802.1
KJ162803.1	KJ162803.1
KJ162804.1	KJ162804.1
KJ162805.1	KJ162805.1
KJ162806.1	KJ162806.1
KJ162807.1	KJ162807.1
KJ162808.1	KJ162808.1
KP792297.1	KP792297.1
KP792298.1	KP792298.1
KP792299.1	KP792299.1
KP792300.1	KP792300.1
KP792301.1	KP792301.1
KP792302.1	KP792302.1
KP792303.1	KP792303.1
KP792304.1	KP792304.1
KP792305.1	KP792305.1
KP792306.1	KP792306.1
KP792307.1	KP792307.1
KP792308.1	KP792308.1
KP792309.1	KP792309.1
KP792310.1	KP792310.1
KP792311.1	KP792311.1
KP792312.1	KP792312.1
KU646858.1	KU646858.1
KU646859.1	KU646859.1
KU646860.1	KU646860.1
KU646861.1	KU646861.1
KU646862.1	KU646862.1
KU646863.1	KU646863.1
KU646864.1	KU646864.1
KU646865.1	KU646865.1
KU646914.1	KU646914.1
KU646915.1	KU646915.1
KU646916.1	KU646916.1
KU646917.1	KU646917.1
KU646918.1	KU646918.1
KU646919.1	KU646919.1
KU646920.1	KU646920.1
KU646921.1	KU646921.1
18060006	18060006
18060007	18060007
17A00408	17A00408
18X00007	18X00007
17WB0002	17WB0002
17WB0011	17WB0011
17WB0017	17WB0017
17WB0122	17WB0122
17WB0127	17WB0127
16010020	16010020
16010023	16010023
16010024	16010024
18010004	18010004
18A00027	18A00027
18A00003	18A00003
18A00076	18A00076
18X00077	18X00077
18WB0118	18WB0118
18WB0120	18WB0120
18WB0131	18WB0131
18WB0134	18WB0134
15A03399	15A03399
15A03403	15A03403
15A03430	15A03430
15A03431	15A03431
15A03445	15A03445
15A03473	15A03473
15A04883	15A04883
18WB0106	18WB0106
18WB0116	18WB0116
18WB0137	18WB0137
18WB0138	18WB0138
15010157	15010157
15010310	15010310
15010115	15010115
15010244	15010244
15010318	15010318
15010369	15010369
15010400	15010400
15010458	15010458
15010461	15010461
15070002	15070002
18WB0100	18WB0100
19WB0040	19WB0040
19WB0041	19WB0041
19WB0052	19WB0052
19WB0053	19WB0053
19WB0056	19WB0056
19WB0100	19WB0100
